arm,seed,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
A,2,143360,282,0.03546099290780142,0.03333333333333333,209.31205673758865,138,0.007246376811594203,0.006666666666666667,209.02898550724638,93,0.0,0.0,198.9247311827957,95,0.021052631578947368,0.02,221.21052631578948,96,0.041666666666666664,0.04,218.3125,92,0.05434782608695652,0.05,221.0,99,0.010101010101010102,0.01,200.2020202020202,272,0.011029411764705883,0.009375,207.86764705882354,1640,823,41.51192283630371
A,2,163840,282,0.028368794326241134,0.02666666666666667,221.39361702127658,138,0.007246376811594203,0.006666666666666667,217.9927536231884,93,0.0,0.0,219.1505376344086,95,0.0,0.0,224.9578947368421,96,0.020833333333333332,0.02,220.40625,92,0.010869565217391304,0.01,216.91304347826087,99,0.020202020202020204,0.02,223.26262626262627,272,0.03676470588235294,0.03125,221.16176470588235,1640,823,41.51192283630371
A,2,184320,282,0.024822695035460994,0.023333333333333334,219.0212765957447,138,0.007246376811594203,0.006666666666666667,213.268115942029,93,0.0,0.0,215.36559139784947,95,0.0,0.0,222.4,96,0.03125,0.03,218.76041666666666,92,0.021739130434782608,0.02,217.7391304347826,99,0.04040404040404041,0.04,229.35353535353536,272,0.022058823529411766,0.01875,222.1764705882353,1640,823,41.51192283630371
A,2,204800,282,0.09929078014184398,0.09333333333333334,270.0744680851064,138,0.06521739130434782,0.06,267.463768115942,93,0.06451612903225806,0.06,254.46236559139786,95,0.06315789473684211,0.06,280.5052631578947,96,0.03125,0.03,261.9375,92,0.10869565217391304,0.1,278.19565217391306,99,0.13131313131313133,0.13,262.1515151515151,272,0.08088235294117647,0.06875,271.54411764705884,1640,823,41.51192283630371
N,2,0,282,0.02127659574468085,0.02,186.11702127659575,138,0.021739130434782608,0.02,188.3840579710145,93,0.03225806451612903,0.03,189.53763440860214,95,0.0,0.0,161.0842105263158,96,0.0,0.0,29.322916666666668,92,0.010869565217391304,0.01,177.1413043478261,99,0.020202020202020204,0.02,127.86868686868686,272,0.007352941176470588,0.00625,135.37867647058823,1435,1435,41.614453077316284
N,2,20480,282,0.024822695035460994,0.023333333333333334,138.62765957446808,138,0.0,0.0,130.65217391304347,93,0.0,0.0,132.0,95,0.0,0.0,125.76842105263158,96,0.020833333333333332,0.02,154.14583333333334,92,0.010869565217391304,0.01,133.3913043478261,99,0.010101010101010102,0.01,120.37373737373737,272,0.022058823529411766,0.01875,139.34558823529412,1435,1435,41.614453077316284
N,2,40960,282,0.010638297872340425,0.01,177.96453900709218,138,0.014492753623188406,0.013333333333333334,177.31159420289856,93,0.0,0.0,173.93548387096774,95,0.010526315789473684,0.01,165.6421052631579,96,0.052083333333333336,0.05,190.75,92,0.010869565217391304,0.01,178.19565217391303,99,0.04040404040404041,0.04,161.64646464646464,272,0.007352941176470588,0.00625,174.23529411764707,1435,1435,41.614453077316284
N,2,61440,282,0.028368794326241134,0.02666666666666667,208.3581560283688,138,0.014492753623188406,0.013333333333333334,198.7246376811594,93,0.0,0.0,194.20430107526883,95,0.031578947368421054,0.03,204.34736842105264,96,0.0625,0.06,221.80208333333334,92,0.05434782608695652,0.05,209.1413043478261,99,0.0,0.0,189.0,272,0.011029411764705883,0.009375,187.28676470588235,1435,1435,41.614453077316284
N,2,81920,282,0.2127659574468085,0.2,331.6985815602837,138,0.13043478260869565,0.12,303.463768115942,93,0.10752688172043011,0.1,298.2043010752688,95,0.15789473684210525,0.15,306.5052631578947,96,0.22916666666666666,0.22,339.4479166666667,92,0.20652173913043478,0.19,323.1521739130435,99,0.2727272727272727,0.27,309.4141414141414,272,0.14338235294117646,0.121875,297.1727941176471,1435,1435,41.614453077316284
N,2,102400,282,0.03900709219858156,0.03666666666666667,225.36879432624113,138,0.043478260869565216,0.04,212.1231884057971,93,0.021505376344086023,0.02,208.3548387096774,95,0.010526315789473684,0.01,212.43157894736842,96,0.052083333333333336,0.05,238.58333333333334,92,0.043478260869565216,0.04,220.3913043478261,99,0.04040404040404041,0.04,215.9090909090909,272,0.011029411764705883,0.009375,203.90441176470588,1435,1435,41.614453077316284
N,2,122880,282,0.43617021276595747,0.41,434.47163120567376,138,0.41304347826086957,0.38,436.6014492753623,93,0.3655913978494624,0.34,422.7096774193548,95,0.4842105263157895,0.46,439.65263157894736,96,0.4166666666666667,0.4,434.2083333333333,92,0.4891304347826087,0.45,436.85869565217394,99,0.41414141414141414,0.41,412.07070707070704,272,0.3161764705882353,0.26875,416.0882352941176,1435,1435,41.614453077316284
N,2,143360,282,0.38652482269503546,0.36333333333333334,401.9609929078014,138,0.37681159420289856,0.3466666666666667,411.80434782608694,93,0.3118279569892473,0.29,401.48387096774195,95,0.4,0.38,412.89473684210526,96,0.3645833333333333,0.35,401.09375,92,0.4673913043478261,0.43,410.17391304347825,99,0.3434343434343434,0.34,374.4040404040404,272,0.27941176470588236,0.2375,401.6985294117647,1435,1435,41.614453077316284
